Year,Title,Length,Director,Genre,Country,Screenings,Admissions,Gross Box Office
2008,Speed Racer,LM,"Lilly Wachowski, Lana Wachowski","Acção, Desporto","US, DE",1405,11868,"50032,67"
2008,Spider,LM,David Cronenberg,Drama,"CA, GB",1,38,"68,00"
2008,Star Wars: A Guerra dos Clones,LM,Dave Filoni,"Aventura, Acção",US,2376,24570,"105475,90"
2008,Stardust - O Mistério Da Estrela Cadente,LM,Matthew Vaughn,"Romance, Fantasia, Aventura","US, IS, GB",3,61,"110,50"
2008,Still Life - Natureza Morta,LM,Jia Zhang-ke,Drama,"CN, HK",4,27,"79,50"
2008,Suicídio Encomendado,LM,Artur Serra Araújo,Comédia,PT,2,34,"31,00"
2008,Super-Herói: O Filme,LM,Craig Mazin,"Comédia, Acção, Ficção Científica",US,4527,82331,"356563,89"
2008,Sweeney Todd: O Terrível Barbeiro de Fleet Street,LM,Tim Burton,"Drama, Musical, Terror","US, GB",5342,146272,"632410,68"
2008,Tabu,LM,F.W. Murnau,"Drama, Romance, Aventura",US,1,75,"0,00"
2008,Tabu - Gohatto,LM,Nagisa Ôshima,"Drama, Acção, Épico/Histórico","FR, JP, GB",1,7,"17,50"
2008,Tarde,LM,Angela Schanelec,Drama,DE,2,135,"217,00"
2008,Tarot,LM,Rudolf Thome,Drama,DE,1,53,"0,00"
2008,Tartarugas Ninja: Uma Nova Aventura,LM,Kevin Munroe,"Fantasia, Acção","US, HK",1,9,"27,00"
2008,Taxidermia,LM,György Pálfi,"Drama, Comédia, Terror","FR, AT, HU",5,66,"162,00"
2008,Tempestade Tropical,LM,Ben Stiller,"Comédia, Aventura, Acção","US, DE, GB",6502,145923,"632484,87"
2008,Tempo De Valentes,LM,Damián Szifron,"Comédia, Acção, Policial",AR,4,175,"230,50"
2008,Tentação,LM,Joaquim Leitão,"Drama, Romance",PT,1,63,"0,00"
2008,"Teresa, O Corpo De Cristo",LM,Ray Loriga,Drama,"FR, ES, GB",4,58,"77,00"
2008,Terra de Bravos,LM,Irwin Winkler,"Drama, Acção, Guerra","US, MA",1241,13052,"58227,75"
2008,Terra De Cegos,LM,Robert Edwards,Drama,"US, GB",6,26,"88,30"
2008,Terra de Ninguém,LM,Danis Tanovic,"Drama, Comédia, Guerra","FR, IT, BE, GB, BA, SI",1,2,"7,60"
2008,Terra Estrangeira,LM,"Walter Salles, Daniela Thomas","Drama, Romance, Acção",BR,14,1862,"0,00"
2008,Terra Sonâmbula,LM,Teresa Prata,Drama,"PT, MZ",159,1454,"5318,38"
2008,The Departed: Entre Inimigos,LM,Martin Scorsese,"Drama, Thriller, Policial","US, HK",1,69,"241,50"
2008,The Host - A Criatura,LM,Bong Joon Ho,"Comédia, Terror",KR,1,26,"47,50"
2008,The Lovebirds,LM,Bruno de Almeida,Drama,"PT, US",246,2515,"11138,62"
2008,The Mist - Nevoeiro Misterioso,LM,Frank Darabont,"Thriller, Terror, Ficção Científica",US,1970,33220,"145158,73"
2008,Torre Bela,LM,Thomas Harlan,Épico/Histórico,"PT, FR, IT, CH",1,19,"15,00"
2008,Tradição É Tradição,LM,Damien O'Donnell,"Drama, Comédia",GB,1,6,"17,90"
2008,Tráfico - Bem-Vindo à América,LM,Marco Kreuzpaintner,"Drama, Policial","US, DE",208,2203,"9150,59"
2008,Transe,LM,Teresa Villaverde,Drama,"PT, FR, IT, RU",3,37,"106,50"
2008,Trânsito Local,LM,Fernando Rocha,Thriller,PT,1,42,"0,00"
2008,Três Tempos,LM,Hsiao-Hsien Hou,"Drama, Romance","FR, TW",173,2625,"10536,35"
2008,Treze Badaladas,LM,Xavier Villaverde,Thriller,"PT, ES",92,460,"1857,30"
2008,Triângulo,LM,"Ringo Lam, Hark Tsui, Johnnie To",Acção,"CN, HK",77,345,"1322,32"
2008,Tropa de Elite,LM,José Padilha,"Drama, Thriller","US, NL, BR",3004,57462,"256986,82"
2008,Tudo o que Perdemos,LM,Susanne Bier,Drama,"US, GB",1076,11044,"46635,23"
2008,Tudo Sobre a Minha Mãe,LM,Pedro Almodóvar,Drama,"FR, ES",1,13,"49,40"
2008,U2 3d,LM,"Catherine Owens, Mark Pellington",Concerto,US,1982,28915,"168893,54"
2008,Um Amigo Meu,LM,Sebastian Schipper,"Drama, Comédia",DE,1,83,"237,00"
2008,Um Azar do Caraças,LM,Judd Apatow,"Romance, Comédia",US,22,231,"881,30"
2008,Um Belo Par de... Patins,LM,Nicholas Stoller,"Drama, Comédia, Musical",US,4932,74913,"312947,23"
2008,Um Coração Poderoso,LM,Michael Winterbottom,"Drama, Biografia, Guerra","US, GB",2,52,"182,00"
2008,Um Homem Perdido,LM,Danielle Arbid,Drama,FR,108,834,"3019,90"
2008,Um Milagre de Natal,LM,Chazz Palminteri,Drama,"US, CA",1,3,"10,50"
2008,Um Padrasto Para Esquecer!,LM,Craig Gillespie,"Romance, Comédia, Desporto",US,2251,27323,"114879,85"
2008,Um Pouco Mais Pequeno Que o Indiana,LM,Daniel Blaufuks,Drama,PT,1,63,"0,00"
2008,"Uma Caloira, Sete Paspalhões",LM,Joe Nussbaum,"Romance, Comédia",US,838,13493,"56105,59"
2008,Uma Família à Beira de um Ataque de Nervos,LM,"Jonathan Dayton, Valerie Faris","Drama, Comédia, Aventura",US,1,25,"0,00"
2008,Uma História de Encantar,LM,Kevin Lima,"Comédia, Fantasia",US,858,19544,"76600,54"
2008,Uma Lição de Amor,LM,Ingmar Bergman,"Drama, Comédia",SE,1,48,"0,00"
2008,Uma Noite com o Rei,LM,Michael O. Sajbel,Drama,US,270,2197,"8960,63"
2008,Uma Segunda Juventude,LM,Francis Ford Coppola,"Romance, Fantasia, Thriller","US, FR, IT, DE, RO",1326,20477,"87788,72"
2008,Uma Verdade Inconveniente,LM,Davis Guggenheim,"Drama, Natureza",US,2,122,"300,00"
2008,Uma Vida Normal,LM,Joaquim Leitão,"Drama, Comédia","PT, ES",2,90,"0,00"
2008,Underground - Era Uma Vez Um País,LM,Emir Kusturica,"Drama, Comédia, Guerra","FR, DE, BG, CZ, HU, RS",2,20,"63,00"
